,nlpd,mae_mean,mae_median,mae_mode
234,0.049903254956007004,0.32265377,0.3098254,0.29222965
235,0.11001219600439072,0.3665331,0.35469082,0.3386295
236,0.1589066982269287,0.377737,0.36597762,0.3527198
237,-2.3926297217258252e-05,0.30249038,0.2980151,0.30074432
238,-0.011016803793609142,0.23869452,0.23675913,0.26333636
239,-0.02049032784998417,0.22850117,0.21620552,0.20965542
240,-0.018579026684165,0.24750157,0.23940538,0.24932607
241,-0.01595756970345974,0.2328729,0.22365199,0.22321807
242,0.015116959810256958,0.28127807,0.26989534,0.25780377
243,0.0037632137537002563,0.29641202,0.28039786,0.27583048
244,-0.009878824464976788,0.26753908,0.25587174,0.26032376
245,-0.013587717898190022,0.27242708,0.26240852,0.28723845
246,0.047907691448926926,0.29113194,0.28377083,0.27931824
247,-0.006875405553728342,0.25285834,0.2466117,0.24075387
248,-0.008808095939457417,0.2448164,0.23600283,0.23103888
249,0.008746306411921978,0.31116715,0.2994873,0.28614542
250,-0.009582539089024067,0.263378,0.25199905,0.24194072
251,-0.004742257297039032,0.30803147,0.289885,0.2627503
252,-0.00023561716079711914,0.2564411,0.24469753,0.2336902
253,0.0074173808097839355,0.27706152,0.2669903,0.26384628
254,0.011541764251887798,0.27410734,0.26031473,0.24711977
255,0.05035706236958504,0.25917882,0.25205225,0.239812
256,0.049885910004377365,0.2827343,0.27347982,0.26622954
257,0.17826306819915771,0.3673804,0.36043012,0.35604385
258,0.11864364147186279,0.30557242,0.29699007,0.2911869
259,0.03363426402211189,0.23723592,0.2300513,0.22378142
260,0.11854008585214615,0.3028182,0.29741776,0.29298803
261,0.18754363059997559,0.32314304,0.3156861,0.3082132
262,0.17758576571941376,0.32086658,0.31447533,0.30678374
263,0.21270394325256348,0.34376723,0.33683822,0.33207926
264,0.18478910624980927,0.3381936,0.3314313,0.32669073
265,0.1084795817732811,0.32125986,0.31446394,0.31236234
266,0.1824989765882492,0.34305668,0.33580393,0.33122894
267,0.1720319539308548,0.34986404,0.34267518,0.33958048
268,0.10845041275024414,0.33891526,0.33231017,0.33023536
269,0.11193323135375977,0.3199478,0.3126568,0.30406266
270,0.21859876811504364,0.34065354,0.3326526,0.32667822
271,0.15168678760528564,0.35221848,0.34466934,0.34221783
272,0.03530561923980713,0.24222398,0.23486003,0.22607145
273,0.09575426578521729,0.31264153,0.3059983,0.3021154
274,0.16870446503162384,0.3692313,0.36423042,0.35994405
275,0.14512109756469727,0.35683218,0.351786,0.35102665
276,0.4832993447780609,0.29630253,0.28686437,0.2687561
277,0.13980107009410858,0.26527962,0.2532655,0.23356138
278,0.15500664710998535,0.3012157,0.29137355,0.27717906
279,0.29080167412757874,0.31967315,0.31206828,0.3053053
280,0.34398165345191956,0.32802695,0.3212866,0.31258547
281,0.27290162444114685,0.29087892,0.2812534,0.2679092
282,0.318574994802475,0.29581097,0.28634232,0.27201986
283,0.30340948700904846,0.29968935,0.29141682,0.27910098
284,0.34525737166404724,0.32705486,0.3184947,0.31060207
285,0.36319318413734436,0.29358786,0.2855978,0.27099591
286,0.34880176186561584,0.29516894,0.28519374,0.27050596
287,0.38472676277160645,0.30847353,0.30107135,0.289267
288,0.23087961971759796,0.30472848,0.29748288,0.28848946
289,0.39936384558677673,0.28672,0.2774026,0.2637679
290,0.48255252838134766,0.27100474,0.26133454,0.24857487
291,0.45949164032936096,0.27667046,0.26752612,0.25232705
292,0.39803647994995117,0.28638643,0.27687782,0.26446596
293,0.34279394149780273,0.24917807,0.2396393,0.22428523
294,0.014863352291285992,0.24758963,0.24776141,0.26079518
295,-0.028527477756142616,0.12490601,0.13179237,0.14917086
296,-0.02945125102996826,0.14344741,0.14640348,0.15349935
297,-0.02687648870050907,0.14293642,0.14612192,0.15768741
298,-0.016483863815665245,0.1877304,0.1953144,0.21720943
299,-0.018575727939605713,0.15746148,0.16335125,0.1839233
300,-0.025805354118347168,0.15246834,0.15627328,0.1657799
301,-0.0295612420886755,0.13681264,0.13974346,0.14973097
302,-0.02702784538269043,0.13949582,0.14251177,0.15419038
303,-0.021447936072945595,0.15465732,0.16036025,0.17810388
304,-0.027464786544442177,0.14553949,0.14985213,0.16166173
305,-0.012241065502166748,0.20114356,0.21463677,0.2502185
306,-0.024994095787405968,0.1585214,0.16219911,0.17421064
307,-0.022748908028006554,0.1763729,0.17705952,0.18202613
308,-0.009688456542789936,0.21876086,0.21917497,0.23456223
309,-0.02420520782470703,0.15051813,0.15477583,0.16464926
310,-0.02664128877222538,0.14912793,0.15422517,0.16346759
311,-0.017423391342163086,0.18273616,0.19382581,0.22599074
312,-0.0018368760356679559,0.23433632,0.23508163,0.24791121
313,0.014280120842158794,0.22201614,0.22167006,0.22796233
314,-0.032635610550642014,0.12859541,0.13243286,0.13650577
315,-0.027645111083984375,0.14795437,0.15156473,0.15797688
316,-0.025611162185668945,0.16033836,0.16357943,0.16746989
317,0.004861752036958933,0.24086818,0.24534136,0.2416834
318,0.02649787999689579,0.25258666,0.2566014,0.2566012
319,-0.024878105148673058,0.16562875,0.16673486,0.17570648
320,-0.02125306986272335,0.16176395,0.16446225,0.17277278
321,-0.03264208510518074,0.12244,0.12603861,0.13535467
322,-0.021821260452270508,0.16258006,0.1690557,0.17662147
323,-0.0062570772133767605,0.2436342,0.2494919,0.2544418
