,nlpd,mae_mean,mae_median,mae_mode
0,-0.008930583484470844,0.38265908,0.35563836,0.30221584
1,-0.011821706779301167,0.33160675,0.3041878,0.26820955
2,-0.0131130525842309,0.32033703,0.2928243,0.2500296
3,-0.043392181396484375,0.3098889,0.27441043,0.21790425
4,-0.07479885220527649,0.31961358,0.28120044,0.22688185
5,-0.06975068897008896,0.28595442,0.2496001,0.17886381
6,0.01607418805360794,0.31301466,0.29004675,0.25138986
7,-0.037302758544683456,0.3008887,0.26926917,0.21605171
8,-0.021654875949025154,0.29878318,0.2652475,0.21357746
9,-0.05421401187777519,0.28465196,0.25866714,0.21956089
10,-0.022573890164494514,0.27577502,0.24567671,0.19252571
11,-0.004309406038373709,0.29661873,0.2692064,0.22764014
12,-0.0023109365720301867,0.2867322,0.26307067,0.22003311
13,0.006225953344255686,0.27566826,0.24775435,0.20905063
14,0.00541222607716918,0.287502,0.2605314,0.21883406
15,0.00428926944732666,0.27432123,0.24812527,0.20397231
16,-0.03161601349711418,0.29108328,0.25944528,0.21268615
17,0.03186357393860817,0.2888012,0.26559773,0.22533752
18,0.030436964705586433,0.29738376,0.27124867,0.24042466
19,0.04403869807720184,0.27091992,0.24684858,0.21031882
20,0.03671682998538017,0.29574335,0.2732074,0.23871079
21,0.011847242712974548,0.33919278,0.31745726,0.2909888
22,0.001412769197486341,0.31295574,0.29440346,0.27144903
23,0.007856667041778564,0.33147478,0.31058094,0.28353977
24,-0.0043863109312951565,0.33081505,0.30428404,0.2575735
25,0.02075335942208767,0.33934486,0.3186362,0.29997158
26,0.01458416786044836,0.36012068,0.3416449,0.32602596
27,0.006182681769132614,0.34129393,0.32082126,0.29203928
28,0.009220425970852375,0.32588655,0.30904344,0.2849631
29,0.020116671919822693,0.3291663,0.3114891,0.29359278
30,0.008412371389567852,0.31770453,0.29589275,0.26283982
31,0.0034908403176814318,0.30945748,0.28690472,0.24141237
32,0.014857743866741657,0.3209013,0.2982525,0.25808764
33,0.028644487261772156,0.3338969,0.31453225,0.2768884
34,-0.05670807138085365,0.25869805,0.22656593,0.16844842
35,0.013417229056358337,0.31225973,0.29118544,0.25162756
36,0.02359744906425476,0.33026543,0.3102998,0.2698334
37,0.00281485915184021,0.3181805,0.29419222,0.26163882
38,-0.0021525323390960693,0.30097374,0.28081793,0.2469633
39,0.009902719408273697,0.3390585,0.31174222,0.26180425
40,0.10269764065742493,0.349461,0.32571018,0.27877554
41,0.03567996993660927,0.36824867,0.342435,0.30981335
42,0.005700270179659128,0.36378834,0.33331946,0.27789146
43,-0.14917607605457306,0.37393126,0.33467776,0.2712995
44,0.01649589277803898,0.37440914,0.34844312,0.303604
45,0.0145663907751441,0.37857896,0.3511373,0.30127853
46,0.030059171840548515,0.37421662,0.35083598,0.3080817
47,-0.009749346412718296,0.34518856,0.31801683,0.2726289
48,0.0032799337059259415,0.3617745,0.3367873,0.2975033
49,0.01937573216855526,0.37165183,0.35464728,0.33338693
50,0.022482799366116524,0.3524437,0.3310316,0.30766293
51,0.021660277619957924,0.367219,0.3446163,0.294372
52,0.014512489549815655,0.3447553,0.32488003,0.28537604
53,0.028916209936141968,0.3577646,0.33536565,0.29572263
54,0.04861332103610039,0.3882476,0.373858,0.3548252
55,0.03053823672235012,0.37235838,0.3463799,0.30574587
56,0.02459929697215557,0.38942325,0.37276185,0.35366815
57,0.013106808997690678,0.36762843,0.34620947,0.31543186
58,0.061203282326459885,0.3597428,0.34532884,0.33728114
59,0.0378849171102047,0.3557929,0.33689436,0.3188244
60,0.17583371698856354,0.3553714,0.33780316,0.30464745
61,0.24663692712783813,0.35933235,0.34724846,0.33690128
62,0.31339341402053833,0.3888988,0.38269654,0.3855032
63,0.16854190826416016,0.37444508,0.36683846,0.36346462
64,0.2878974378108978,0.3904572,0.37664005,0.3621095
65,0.2234644889831543,0.37691036,0.37411976,0.37521037
66,0.3223365247249603,0.36328343,0.35247415,0.34378207
67,0.3174908459186554,0.3868898,0.38340718,0.39368522
68,0.13271863758563995,0.33222562,0.31696308,0.2921606
69,0.13485316932201385,0.35813656,0.3450673,0.32459405
70,0.16798891127109528,0.3357782,0.3126015,0.2677101
71,0.22499783337116241,0.3626733,0.35781702,0.36036122
72,0.24699126183986664,0.4212103,0.42027608,0.43012053
73,0.2094181329011917,0.36422712,0.3600405,0.3669777
74,0.2601163685321808,0.39398518,0.38236395,0.36404687
75,0.2834242880344391,0.3676751,0.35379103,0.33022225
76,0.1864417940378189,0.37807494,0.370168,0.36086765
77,0.2467624694108963,0.3764538,0.36986032,0.37229493
78,0.3607604205608368,0.39898092,0.39319932,0.38721398
79,0.2627606689929962,0.3513288,0.3375031,0.31776425
80,0.008056879043579102,0.27970016,0.2721981,0.26690346
81,-0.018338680267333984,0.20575741,0.20785634,0.22186418
82,-0.010779321193695068,0.23134947,0.2281614,0.2335878
83,0.010866940021514893,0.28207615,0.28010145,0.29444695
84,-0.014671196229755878,0.21333586,0.2156793,0.23110417
85,-0.01593071222305298,0.18985742,0.19947882,0.22562115
86,0.04057828709483147,0.32653219,0.3220226,0.3346835
