,nlpd,mae_mean,mae_median,mae_mode
0,-0.15050530433654785,0.02336111,0.012586198,0.008574842
1,-0.1497669219970703,0.014045803,0.010599792,0.009694083
2,-0.14479510486125946,0.014937732,0.011140532,0.007560791
3,-0.1570994108915329,0.017318504,0.012117034,0.0064418754
4,-0.2960897982120514,0.013916298,0.009832872,0.0059723915
5,-0.14821751415729523,0.013784047,0.010486468,0.0063404036
6,-0.13198916614055634,0.020369405,0.015981978,0.011260402
7,-0.15113385021686554,0.01455091,0.011149105,0.0068366737
8,-0.14386050403118134,0.014306193,0.011096648,0.008131428
9,-0.13585472106933594,0.014136859,0.011321574,0.008808331
10,-0.13005129992961884,0.017369272,0.013981436,0.01093206
11,-0.1100107803940773,0.030847643,0.027125033,0.022740535
12,-0.1325937956571579,0.01603416,0.012570631,0.009144638
13,-0.12648646533489227,0.019365998,0.015636455,0.010882372
14,-0.11706320196390152,0.02780515,0.023643259,0.018679997
15,-0.12696044147014618,0.02272459,0.01832417,0.011874908
16,-0.2620169222354889,0.011824539,0.0073291594,0.0032297631
17,-0.11480522155761719,0.024577225,0.020936647,0.01556195
18,-0.12091890722513199,0.022323044,0.017831607,0.01189124
19,-0.14240264892578125,0.021514535,0.016156886,0.01060029
20,-0.15405113995075226,0.015852844,0.011809772,0.0081483405
21,-0.11326217651367188,0.01424705,0.014968851,0.020807303
22,-0.09021059423685074,0.022990441,0.025734652,0.032841515
23,-0.09883499145507812,0.018639745,0.020714436,0.02701473
24,-0.10287062078714371,0.016169976,0.018173426,0.02166313
25,-0.09965292364358902,0.024846707,0.024399377,0.028153371
26,-0.09895292669534683,0.021958986,0.023317568,0.028390594
27,-0.08660411834716797,0.019150823,0.02350494,0.03309529
28,-0.0846811905503273,0.02232464,0.025567787,0.032841675
29,-0.09326966851949692,0.021960543,0.024288071,0.030667577
30,-0.0959717407822609,0.041559156,0.038554695,0.035895504
31,-0.11323515325784683,0.020357387,0.017973902,0.017347975
32,-0.11176109313964844,0.024407906,0.02184257,0.021500675
33,-0.11051273345947266,0.027237324,0.023994232,0.02044254
34,-0.3725802004337311,0.017015656,0.010654036,0.0030917376
35,-0.11228593438863754,0.02691607,0.0233849,0.021281186
36,-0.10519155114889145,0.040447894,0.036067743,0.032520276
37,-0.1060425415635109,0.027430119,0.024550434,0.023780549
38,-0.09710947424173355,0.02002563,0.02105831,0.027294865
39,-0.15310923755168915,0.013801934,0.008764984,0.005042077
40,-0.15373294055461884,0.013882186,0.00999309,0.005126128
41,-0.1257495880126953,0.010991568,0.010967917,0.0122807035
42,-0.15949440002441406,0.011989566,0.00891337,0.00590411
43,-0.309368759393692,0.011327077,0.007476189,0.0024342546
44,-0.14421971142292023,0.010614961,0.009358264,0.008756164
45,-0.1574147492647171,0.014543647,0.011285955,0.0069230506
46,-0.1496378630399704,0.010995712,0.008898694,0.0071177483
47,-0.09297561645507812,0.016018419,0.01722291,0.020347957
48,-0.1259867399930954,0.014013815,0.014723883,0.017069662
49,-0.12360382080078125,0.015627082,0.016369816,0.018723046
50,-0.1262156218290329,0.01603811,0.01663561,0.019207172
51,-0.13791275024414062,0.012650317,0.011359096,0.010553909
52,-0.11933135986328125,0.01494483,0.0148663325,0.015843825
53,-0.13634490966796875,0.0142949615,0.013032925,0.0120010115
54,-0.08493169397115707,0.023990799,0.023962414,0.02445463
55,-0.14334996044635773,0.012318487,0.010928352,0.009568514
56,-0.12278366088867188,0.013324767,0.013764824,0.015201195
57,-0.1151885986328125,0.016607324,0.016670892,0.017670179
58,-0.08802541345357895,0.025043875,0.025385981,0.02675321
59,-0.10946019738912582,0.015540157,0.0158056,0.017031204
60,-0.023245492950081825,0.033273745,0.030815506,0.0275185
61,-0.026210784912109375,0.050057713,0.04732352,0.042799074
62,0.15702183544635773,0.07162437,0.07083325,0.069315106
63,0.05966440960764885,0.057587817,0.056508813,0.054016422
64,-0.0763041153550148,0.028731244,0.026044784,0.021837035
65,0.21823565661907196,0.101421095,0.09878432,0.09536924
66,0.14681434631347656,0.06264733,0.060197964,0.056862507
67,0.07312583923339844,0.07606348,0.074308254,0.071884
68,-0.08203951269388199,0.033243343,0.030691871,0.026308749
69,-0.05913988873362541,0.038252916,0.036032576,0.032133304
70,-0.12430953979492188,0.024792274,0.020767024,0.01411123
71,0.16044871509075165,0.11691332,0.11501727,0.11266383
72,0.13740158081054688,0.12744115,0.12409271,0.11924696
73,0.06400267034769058,0.0942956,0.09129645,0.08767637
74,-0.11732610315084457,0.02617402,0.021120783,0.014690467
75,0.09257189184427261,0.09418936,0.087098636,0.07589377
76,-0.012842814438045025,0.07272557,0.06821467,0.060538735
77,0.013962745666503906,0.094651416,0.0906672,0.08504414
78,-0.06801160424947739,0.068858854,0.062377095,0.0514571
79,-0.10638300329446793,0.041981593,0.033927534,0.021989737
80,-0.0056292214430868626,0.078171395,0.08646298,0.10102636
81,0.1889629364013672,0.1743064,0.1814894,0.19490696
82,0.039875347167253494,0.12424334,0.13067475,0.14207397
83,0.08543809503316879,0.12098729,0.12712164,0.13764077
84,0.2048969268798828,0.22744802,0.23228836,0.2423087
85,0.5372915267944336,0.32515207,0.33087757,0.3414406
86,0.007160186767578125,0.0937729,0.098597094,0.10683203
87,0.1633485108613968,0.17244588,0.1789362,0.19088134
88,0.409858375787735,0.21678498,0.22277442,0.23354474
89,0.0032062530517578125,0.09307121,0.09799082,0.108106054
90,0.09320386499166489,0.15615335,0.1611666,0.17124653
91,0.32561174035072327,0.29125544,0.2959818,0.30564085
92,0.2947660982608795,0.21318801,0.22014855,0.23353596
93,0.1404561996459961,0.1962235,0.20163402,0.21398535
94,0.03331978991627693,0.17989837,0.18532065,0.1968556
95,0.027976036071777344,0.15459614,0.16003825,0.17159809
96,-0.012224197387695312,0.08167884,0.08821222,0.10108371
97,0.1221669539809227,0.19113283,0.19743179,0.20891787
98,0.054584819823503494,0.18494724,0.19182433,0.20411167
99,0.09024413675069809,0.18316056,0.19058329,0.2045996
100,0.19828160107135773,0.22916082,0.23632124,0.25050503
101,-0.03423118591308594,0.05186634,0.0594156,0.07353269
102,-0.03954887390136719,0.07226794,0.07909045,0.092403956
103,-0.09116490930318832,0.031126589,0.030115826,0.031658288
104,-0.08706633001565933,0.030086992,0.03120342,0.036368027
105,-0.08745479583740234,0.025458017,0.026815789,0.03342773
106,-0.09019342809915543,0.027135013,0.027387617,0.033155877
107,-0.0779937133193016,0.043275125,0.043476377,0.047167968
108,-0.08781751245260239,0.032250866,0.03276784,0.0356919
109,-0.09176063537597656,0.02627297,0.02772313,0.033274315
110,-0.09010378271341324,0.023679337,0.026548833,0.03409613
111,-0.07838185876607895,0.039707247,0.0413342,0.044736065
112,-0.08263969421386719,0.029471524,0.03157808,0.038438622
113,-0.0755666121840477,0.036332678,0.03845673,0.044078365
114,-0.08493900299072266,0.03824248,0.03866343,0.04102353
115,-0.0833231583237648,0.036686163,0.0377136,0.04209517
116,-0.09715620428323746,0.019356044,0.021402027,0.02778394
117,0.014451980590820312,0.07233252,0.07768608,0.088204816
